"Source:"	"C:\Users\marco\Documents\GitHub\Marshall\PCB\Alimentatore\MRAMP00_POWER\MRAMP00_PowerSupply\MRAMP00_PowerSupply.sch"
"Date:"	"20/11/2021 21:34:31"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"72"
"Ref"	"Value"	"PN"	"Description"	"Vendor"
"BR1"	"D2SB60A"	"D2SB60A"	"Bridge Rectifiers Bridge"	"M: 821-D2SB60D2G"

"C1"	"1uF"	"ESE105M450AG3AA"	"Polarized capacitor, US symbol"	"M: 80-ESE105M450AG3AA"
"C2"	"1uF"	"ESE105M450AG3AA"	"Polarized capacitor, US symbol"	"M: 80-ESE105M450AG3AA"
"C3"	"100uF"	"ESH107M450AN2AA"	"Polarized capacitor, US symbol"	"M: 80-ESH107M450AN2AA"
"C7"	"100uF"	"ESH107M450AN2AA"	"Polarized capacitor, US symbol"	"M: 80-ESH107M450AN2AA"

"C8"	"22uF"	"B43821A9226M"	"Polarized capacitor, US symbol"	"M: 871-B43821A9226M"

"C9"	"1uF"	"ESE105M450AG3AA"	"Polarized capacitor, US symbol"	"M: 80-ESE105M450AG3AA"
"C10"	"1uF"	"ESE105M450AG3AA"	"Polarized capacitor, US symbol"	"M: 80-ESE105M450AG3AA"

"C11"	"1000uF"	"MAL203836102E3"	"Polarized capacitor, US symbol"	"M: 594-MAL203836102E3"
"C12"	"1000uF"	"MAL203836102E3"	"Polarized capacitor, US symbol"	"M: 594-MAL203836102E3"
"C13"	"1000uF"	"MAL203836102E3"	"Polarized capacitor, US symbol"	"M: 594-MAL203836102E3"
"C14"	"1000uF"	"MAL203836102E3"	"Polarized capacitor, US symbol"	"M: 594-MAL203836102E3"

"C15"	"10uF"	"ESK106M025AC3AA"	"Polarized capacitor, US symbol"	"M: 80-ESK106M025AC3AA"
"C16"	"10uF"	"ESK106M025AC3AA"	"Polarized capacitor, US symbol"	"M: 80-ESK106M025AC3AA"

"D1"	"VS-2EYH01HM3/I"	"VS-2EYH01HM3/I"	"Diode"	"M:78-VS-2EYH01HM3/I"
"D2"	"VS-2EYH01HM3/I"	"VS-2EYH01HM3/I"	"Diode"	"M:78-VS-2EYH01HM3/I"

"H1"	"MountingHole_Pad"	""	"Mounting Hole with connection"	""
"H2"	"MountingHole_Pad"	""	"Mounting Hole with connection"	""
"H3"	"MountingHole_Pad"	""	"Mounting Hole with connection"	""
"H4"	"MountingHole_Pad"	""	"Mounting Hole with connection"	""

"J1"	"Conn_01x04"	"1766660"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	"M: 651-1766660"
"J2"	"Conn_01x04"	"1766660"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	"M: 651-1766660"
"J3"	"Conn_01x04"	"1766660"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	"M: 651-1766660"
"J4"	"Conn_01x04"	"1766660"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	"M: 651-1766660"
"J5"	"Conn_01x04"	"1766660"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	"M: 651-1766660"

